ProductID,CategoryID,ProductName,Price,Description,HowToUse,Dosage,Stock,MainImagePath,IsActive,WeightInGrams,ShortDescription,MRP
5,NULL,Moringa Leaf Powder (100 gm),100,"Moringa Pod Powder is a finely ground natural moringa drumstick pod powder for smoothies, juices, and daily wellness routines. A nutrient-rich choice for health-conscious customers looking for natural superfood options.","Use 1 teaspoon in warm water, smoothies, or juice as part of a balanced diet.","Store in a cool, dry place in an airtight container. Keep away from moisture and direct sunlight.Best use within 6 months.",999,/Images/Products/ad2bc0_moringa leaf powder.jpeg,1,110,Natural moringa leaf powder for daily use,150
6,NULL,Moringa Pod Powder (100g),100,"Moringa Pod Powder is a finely ground natural moringa drumstick pod powder for smoothies, juices, and daily wellness routines. A nutrient-rich choice for health-conscious customers looking for natural superfood options.","Use 1 teaspoon in warm water, smoothies, or juice as part of a balanced diet.","Store in a cool, dry place in an airtight container. Keep away from moisture and direct sunlight.Best use within 6 months.",999,/Images/Products/f8a7f5_moringa pod packet.jpg,1,110,Natural moringa pod powder for daily use,150
7,NULL,Bio Potash Granules (KMB Based) (1 kg),75,"Bio Potash Granules is a biological fertilizer containing natural bio matter. It converts insoluble potash present in soil into an easily absorbable form, ensuring a steady potassium supply to plants.    Key Benefits:  .. Improves potassium availability in soil  .. Enhances root & shoot growth  .. Strengthens plants against drought & disease stress  .. Increases fruit size, colour & sugar content  .. Improves yield and overall crop quality  .. Reduces dependency on chemical fertilizers  .. Improves soil structure & microbial activity    Suitable For:  Vegetables, fruits, flowers, cereals, pulses, sugarcane, cotton & all horticultural plants    .. Soil-friendly potassium solution for healthy growth & better produce",Apply 1-2 tsp per 12-inch pot in the soil mix every 15-20 days. Can be mixed with vermicompost.,"Store sealed in a cool, dry place. Use only as recommended and avoid overwatering immediately after application.",999,/Images/Products/247456_BIO Potash granules.jpeg,1,1050,Potash booster for stronger roots and yield,100
8,NULL,Coconut Husk Chips (1 kg),85,"Coconut Husk Chips - Let Roots Breathe Naturally  Turn ordinary soil into a healthy, breathable growing medium with Coconut Husk Chips-nature’s own solution for strong roots and stress-free plants.  Why plant lovers choose it ??  .. Perfect moisture balance - holds water yet drains excess, preventing root rot  .. Excellent aeration - roots get oxygen, grow stronger and spread faster  .. 100% natural & eco-friendly - chemical-free, biodegradable, sustainable  .. Ideal for orchids, anthurium, indoor & terrace plants  .. Long-lasting & reusable - doesn’t break down quickly like soil  How it helps your plants thrive  Coconut husk chips create tiny air pockets around roots, reducing stress, improving nutrient uptake, and encouraging healthy flowering and lush growth-especially in potted plants.  Ways to use  Use alone for orchids & epiphytes  Mix with soil, cocopeat, or compost for pots  Spread on top as mulch to reduce evaporation  .. From roots to blooms-give your plants a natural upgrade with Coconut Husk Chips.  .. Perfect for gardeners who want healthier plants with less effort","Mix 20-40% with soil or potting mix for better drainage, use as mulch to save water, and support healthy root growth.",Keep dry before use. Store in a ventilated place and rehydrate only when needed.,999,/Images/Products/a1c527be_coco husk chips2.jpg,1,1600,"Improves soil aeration, drainage, and root growth",100
9,NULL,Castor Cake Fertilizer (1 kg),60,"Castor Cake Fertilizer  A powerful natural soil booster made from castor seed residue - ideal for healthy plant growth and living soil.  Key Benefits  .. Improves soil fertility & structure  .. Promotes strong root development  .. Slow-release natural nitrogen  .. Enhances microbial activity  .. Helps reduce soil-borne pests  .. Safe for vegetables, flowers & fruit plants  Best For  .. Pots & garden soil  .. Flowering plants  .. Kitchen garden  .. Trees & shrubs",Apply 1-2 tsp per 12-inch pot in soil mix every 40-50 days.,"Store in a dry, shaded place. Keep away from children and pets.",999,/Images/Products/43cc38_castor cake.jpg,1,1040,Slow-release natural fertilizer for healthy soil,100
10,NULL,"Cocopeat (Loose, Prewashed, Moist) (5 kg)",150,"Cocopeat is a lightweight growing medium that improves water retention, aeration, and root development for pots, planters, and seed starting.","Mix into soil or use in potting media to support fast, healthy plant growth.",Keep slightly moist and store covered. Do not allow contamination with dust or chemicals.,999,/Images/Products/60df03_cocopeat 1kg.png,1,5300,Retains moisture and improves potting mix texture,200
11,NULL,"Cocopeat (Loose, Prewashed, Moist) (1 kg)",40,"Cocopeat is a lightweight growing medium that improves water retention, aeration, and root development for pots, planters, and seed starting.","Mix into soil or use in potting media to support fast, healthy plant growth.",Keep slightly moist and store covered. Do not allow contamination with dust or chemicals.,999,/Images/Products/355154_cocopeat 1kg.png,1,1030,Retains moisture and improves potting mix texture,50
12,NULL,Humic Acid Shiny Balls (1 kg),90,"Humic acid - Natural plant growth booster.      Natural plant growth enhancer. It improves soil fertility, boosts root growth, and helps plants absorb nutrients more effectively — leading to healthier, more productive crops.    .. Key Benefits:  • Improves root development & nutrient absorption  • Enhances soil structure & water retention  • Stimulates beneficial microbes in soil  • Increases yield and crop quality naturally    .. Form: Liquid (Ready to use after dilution)  .. Suitable for all crops, vegetables, fruits & garden plants.    ",Apply 1-2 tsp per 12-inch pot in the soil mix every 15-20 days.,Store in an airtight container in a cool dry place. Keep away from moisture.,999,/Images/Products/4d04b7_humic shiny.jpg,1,1020,Soil booster for stronger roots and better nutrient uptake,120
13,NULL,Neem Cake Fertilizer (1 kg),60,"Neem cake is a natural fertilizer made from neem seeds. It enriches soil, improves root growth, and protects plants from soil pests.   .. Adds bio matter & slow-release nutrients  .. Controls nematodes, termites & grubs naturally  .. Boosts beneficial microbes & plant immunity  .. Safe for earthworms    Ideal for vegetables, flowers, fruit plants & kitchen gardens",Apply 1-2 tsp per 12-inch pot in the soil mix every 40-50 days.,Store in a dry place away from moisture. Keep tightly packed after opening.,999,/Images/Products/68f6d0_neem cake1.jpg,1,1020,Natural soil enricher and pest protection fertilizer,100
14,NULL,PROM Granules (Phosphate Rich Organic Manure) (1 kg),75,"PROM Granules (Phosphate Rich Manure)    Phosphorus fertilizer for strong roots, flowering & fruiting.  Made from pure manure + natural rock phosphate + beneficial microbes.    .. Benefits  .. Strong root & shoot growth  .. Early flowering & fruit set  .. Improves soil microbes & fertility  .. Better nutrient uptake  .. Reduces chemical fertilizer use  .. Suitable for all soils    .. Suitable For  Vegetables .. Fruits .. Flowers .. Field & pot plants",Use 1-2 tsp per 12-inch pot in soil mix every 15-20 days. Works well with PSB and vermicompost.,Store in a dry place away from moisture. Keep the packet tightly closed after opening.,999,/Images/Products/a91b0423_PROM granules.jpeg,1,1020,"Phosphate-rich manure for roots, flowering, and fruiting",100
